app,mode,destination,source,price,distance
Uber,UberX,North End,Back Bay,9.0,2.33
Lyft,Lux Black,Theatre District,Northeastern University,22.5,1.99
Uber,Black,South Station,North Station,17.0,2.17
Uber,UberXL,Haymarket Square,North Station,11.0,0.56
Uber,WAV,Haymarket Square,Beacon Hill,8.5,1.35
Lyft,Lux,North End,Financial District,13.5,1.0
Lyft,Lyft,North End,Beacon Hill,9.0,1.77
Lyft,Lux Black XL,Theatre District,Boston University,34.0,2.98
Uber,UberXL,Haymarket Square,Theatre District,15.0,1.61
Lyft,Lyft XL,Financial District,Boston University,22.5,4.72
Lyft,Lux Black,Fenway,Beacon Hill,22.5,2.38
Uber,UberPool,Back Bay,North End,7.0,1.37
Lyft,Lyft XL,South Station,North Station,13.5,2.13
Lyft,Lyft,Northeastern University,North Station,11.0,3.25
Uber,Black,Boston University,Theatre District,24.0,2.62
Uber,Black,North End,North Station,15.0,1.08
Uber,UberX,South Station,Back Bay,12.5,3.45
Uber,WAV,Theatre District,Haymarket Square,9.5,1.16
Uber,Black SUV,Haymarket Square,Financial District,27.0,1.25
Lyft,Lux,Financial District,North End,13.5,1.15
Uber,Black,Theatre District,Fenway,16.0,1.12
Uber,Black SUV,Haymarket Square,Theatre District,28.0,1.61
Uber,UberPool,South Station,Back Bay,14.0,6.26
Lyft,Shared,Haymarket Square,West End,5.0,0.77
Uber,UberX,Northeastern University,Theatre District,9.5,2.31
Lyft,Lux Black,Financial District,Northeastern University,32.5,3.97
Lyft,Lux Black XL,Theatre District,Northeastern University,42.5,2.03
Lyft,Lux,West End,Northeastern University,19.5,2.79
Lyft,Lyft,Boston University,North Station,13.5,3.14
Lyft,Lux,Fenway,North Station,19.5,3.18
Lyft,Lyft,Fenway,Beacon Hill,9.0,2.45
Uber,UberXL,Financial District,Northeastern University,20.5,4.56
Uber,Black SUV,South Station,Theatre District,26.0,0.55
Uber,WAV,Financial District,South Station,8.5,0.63
Lyft,Lyft XL,North End,North Station,11.0,0.99
Lyft,Lux,Haymarket Square,North Station,11.0,0.72
Lyft,Lux,North Station,Haymarket Square,10.5,0.55
Uber,WAV,Back Bay,North End,11.5,3.61
Uber,Black SUV,North End,Financial District,26.0,1.21
Lyft,Shared,Haymarket Square,Theatre District,3.5,1.74
Uber,Black SUV,South Station,Financial District,26.0,0.39
Lyft,Shared,West End,Northeastern University,9.0,2.76
Uber,WAV,Beacon Hill,Boston University,9.5,2.79
Lyft,Shared,South Station,Theatre District,5.0,0.59
Lyft,Lyft XL,North Station,Haymarket Square,9.0,0.57
Lyft,Shared,North End,Financial District,5.0,1.16
Lyft,Lux Black,South Station,Beacon Hill,22.5,2.39
Uber,WAV,Northeastern University,West End,10.5,3.08
Uber,WAV,West End,Northeastern University,9.5,2.86
Uber,UberXL,Theatre District,Northeastern University,15.0,1.95
Uber,Black,Fenway,West End,21.5,2.84
Lyft,Shared,Back Bay,Haymarket Square,7.0,2.0
Uber,UberPool,Northeastern University,Back Bay,7.0,1.1
Uber,UberX,West End,Boston University,8.5,3.04
Lyft,Lux Black XL,Fenway,Theatre District,38.5,3.07
Uber,UberX,North Station,Fenway,10.5,3.07
Uber,Black,Financial District,North End,15.0,1.04
Lyft,Lux Black,North End,North Station,16.5,1.06
Lyft,Shared,Financial District,South Station,5.0,0.63
Uber,UberXL,Haymarket Square,Beacon Hill,13.5,2.23
Uber,WAV,Financial District,Northeastern University,10.5,2.72
Uber,Black,North Station,Fenway,24.5,3.08
Uber,Black SUV,Beacon Hill,Northeastern University,28.5,2.61
Lyft,Lyft XL,Back Bay,Northeastern University,10.5,1.45
Lyft,Lyft XL,North End,Beacon Hill,16.5,2.12
Uber,WAV,Back Bay,South Station,8.5,1.89
Uber,UberPool,Back Bay,Boston University,4.5,0.03
Lyft,Shared,North End,West End,5.0,1.19
Uber,UberPool,Haymarket Square,Beacon Hill,9.0,2.23
Lyft,Shared,Northeastern University,North Station,13.5,3.31
Lyft,Lux Black XL,Financial District,Boston University,38.5,4.72
Lyft,Shared,Beacon Hill,Boston University,9.0,2.64
Lyft,Lux Black XL,South Station,Back Bay,32.5,2.61
Lyft,Lyft,Back Bay,Fenway,7.0,1.48
Uber,Black,North Station,Fenway,24.0,3.07
Lyft,Lux,Theatre District,Northeastern University,16.5,2.0
Uber,UberPool,North End,Back Bay,10.0,2.84
Uber,WAV,Northeastern University,Beacon Hill,8.5,1.97
Uber,WAV,Theatre District,South Station,8.5,1.3
Uber,WAV,West End,Boston University,8.5,3.04
Uber,Black SUV,West End,Haymarket Square,26.5,0.62
Uber,Black,North End,West End,17.0,1.23
Uber,Black SUV,Beacon Hill,Haymarket Square,27.0,0.91
Uber,UberX,Haymarket Square,Beacon Hill,8.5,1.35
Lyft,Lux Black XL,South Station,West End,27.5,2.14
Lyft,Shared,Haymarket Square,Financial District,3.0,1.26
Lyft,Lyft,Fenway,Theatre District,11.0,3.21
Uber,WAV,Fenway,North Station,10.5,3.05
Lyft,Lyft,Fenway,North Station,10.5,3.2
Uber,UberPool,Back Bay,Boston University,7.5,1.56
Uber,UberPool,Financial District,Haymarket Square,8.0,0.99
Uber,Black SUV,Financial District,Fenway,37.5,3.65
Uber,Black SUV,Beacon Hill,Northeastern University,30.5,2.63
Uber,UberXL,Northeastern University,Back Bay,10.5,1.22
Uber,Black SUV,South Station,West End,29.5,2.14
Lyft,Lux,Beacon Hill,Haymarket Square,13.5,1.31
Uber,Black SUV,Northeastern University,Financial District,46.5,7.46
Uber,UberXL,Northeastern University,North Station,17.5,3.37
Lyft,Lux Black,Theatre District,North End,19.5,1.55
Uber,UberX,Boston University,West End,11.5,2.8
Uber,WAV,Boston University,Financial District,14.0,5.56
Uber,UberPool,Haymarket Square,North Station,5.5,0.56
Uber,Black SUV,North End,North Station,27.5,1.08
Uber,Black,Theatre District,Fenway,19.5,2.66
Lyft,Shared,South Station,Back Bay,5.0,1.37
Uber,UberPool,Fenway,Back Bay,6.5,1.34
Uber,WAV,Theatre District,Northeastern University,8.5,2.81
Lyft,Lux Black XL,Back Bay,Fenway,26.0,1.55
Uber,Black,North Station,Haymarket Square,15.0,0.49
Uber,UberXL,Back Bay,Haymarket Square,18.5,3.79
Uber,Black SUV,Theatre District,Haymarket Square,27.5,1.16
Lyft,Lux Black,Haymarket Square,Financial District,16.5,1.25
Uber,Black SUV,North End,Beacon Hill,27.5,1.35
Lyft,Shared,Fenway,Theatre District,7.0,3.12
Lyft,Lyft XL,North End,West End,11.0,1.04
Uber,UberX,North Station,North End,7.0,0.92
Lyft,Lyft,West End,Haymarket Square,7.0,0.64
Uber,UberPool,West End,Boston University,12.0,3.04
Lyft,Lux Black XL,Boston University,Financial District,45.5,5.4
Uber,WAV,North End,Back Bay,10.5,2.33
Uber,Black,Beacon Hill,Northeastern University,18.5,2.61
Lyft,Shared,North End,North Station,3.5,1.12
Lyft,Lyft,West End,South Station,11.0,1.76
Uber,Black SUV,South Station,West End,28.0,2.14
Uber,WAV,North Station,Fenway,12.5,3.1
Uber,Black,Beacon Hill,Fenway,24.0,2.48
Lyft,Lyft,Boston University,Back Bay,7.0,1.5
Lyft,Lyft,Theatre District,Haymarket Square,7.0,1.19
Uber,Black,Northeastern University,North Station,25.0,3.15
Lyft,Lyft,South Station,Beacon Hill,9.0,2.48
Uber,Black,Haymarket Square,Beacon Hill,16.5,1.35
Lyft,Lyft,Northeastern University,North Station,11.0,3.24
Uber,WAV,West End,North End,8.0,1.16
Lyft,Lux,Beacon Hill,South Station,16.5,2.64
Lyft,Lyft,North End,Theatre District,9.0,1.7
Uber,UberPool,Back Bay,Boston University,7.5,1.56
Uber,Black,North Station,South Station,20.5,2.29
Uber,UberPool,South Station,North Station,8.0,1.61
Uber,Black SUV,North Station,Northeastern University,36.5,3.22
Uber,UberXL,Northeastern University,Financial District,16.0,2.44
Lyft,Shared,Northeastern University,Financial District,9.0,4.43
Lyft,Lyft XL,Northeastern University,North Station,16.5,3.26
Uber,UberX,Haymarket Square,West End,7.0,0.72
Lyft,Lux,Fenway,Theatre District,22.5,3.28
Lyft,Lux,Back Bay,North End,22.5,2.51
Uber,WAV,South Station,Theatre District,7.5,0.55
Uber,UberPool,Back Bay,Fenway,7.0,1.5
Uber,Black SUV,Theatre District,Fenway,29.5,2.66
Uber,UberPool,Fenway,Beacon Hill,7.5,1.31
Lyft,Lux Black,North Station,North End,16.5,0.99
Lyft,Shared,North End,Back Bay,13.5,3.02
Uber,Black,Beacon Hill,Northeastern University,21.5,2.55
Lyft,Lux,Boston University,North Station,19.5,3.12
Uber,Black,Haymarket Square,Financial District,17.5,1.25
Uber,UberX,North End,Back Bay,12.0,2.33
Lyft,Lux,South Station,North Station,16.5,1.76
Lyft,Lyft XL,Beacon Hill,Boston University,16.5,2.67
Uber,Black SUV,Northeastern University,West End,31.5,2.56
Uber,UberPool,Theatre District,Northeastern University,9.0,1.91
Lyft,Lux,Beacon Hill,North End,16.5,1.91
Lyft,Shared,South Station,Back Bay,5.0,1.37
Lyft,Lyft XL,North End,West End,11.0,1.04
Uber,UberPool,Back Bay,Boston University,7.5,1.51
Lyft,Lux,North Station,Boston University,22.5,3.47
Uber,WAV,Boston University,Financial District,15.0,5.7
Lyft,Lux Black XL,Boston University,Back Bay,27.5,1.44
Uber,WAV,Beacon Hill,North End,10.5,1.53
Lyft,Lyft,Fenway,Back Bay,7.0,1.44
Uber,UberX,North End,Financial District,7.0,1.21
Uber,Black,West End,Haymarket Square,15.0,0.62
Lyft,Lux Black,Beacon Hill,Haymarket Square,16.5,1.41
Uber,UberPool,West End,Fenway,10.0,2.72
Lyft,Shared,Boston University,Back Bay,5.0,1.43
Uber,UberX,Boston University,Theatre District,12.0,2.62
Lyft,Lux,Boston University,Beacon Hill,16.5,2.28
Uber,UberXL,Boston University,Beacon Hill,16.0,2.25
Uber,UberX,North End,Theatre District,7.0,1.57
Uber,UberX,Northeastern University,Back Bay,7.0,1.1
Lyft,Lyft,Boston University,North Station,11.0,3.15
Lyft,Lux,Northeastern University,West End,19.5,3.11
Uber,UberX,Theatre District,Boston University,10.5,2.98
Uber,Black SUV,Boston University,Financial District,36.0,4.44
Uber,WAV,Fenway,Beacon Hill,12.5,2.32
Uber,Black,Northeastern University,Financial District,23.5,3.3
Uber,UberPool,Beacon Hill,South Station,7.5,2.58
Uber,WAV,Boston University,Theatre District,10.5,2.62
Lyft,Lux Black XL,Beacon Hill,Northeastern University,32.5,2.41
Lyft,Lyft XL,Financial District,North End,13.5,1.17
Lyft,Lyft,Financial District,Boston University,13.5,4.32
Uber,Black,Theatre District,Boston University,23.0,2.98
Lyft,Lyft XL,Boston University,Theatre District,22.5,4.66
Uber,UberPool,Theatre District,Haymarket Square,8.0,1.45
Uber,UberX,Fenway,Financial District,21.5,4.48
Lyft,Shared,North Station,Northeastern University,7.0,3.14
Uber,Black,South Station,Financial District,16.0,0.39
Lyft,Lux,Haymarket Square,Financial District,13.5,1.27
Uber,UberXL,Back Bay,South Station,16.0,3.44
Uber,UberXL,Northeastern University,West End,17.5,3.15
Lyft,Lyft XL,Beacon Hill,Northeastern University,16.5,2.47
Uber,UberXL,North End,Beacon Hill,16.0,1.5
Uber,UberPool,Northeastern University,West End,8.0,3.1
Uber,UberXL,South Station,Beacon Hill,15.0,2.48
Uber,UberPool,West End,Fenway,9.0,2.72
Uber,Black SUV,Beacon Hill,Boston University,31.5,2.8
Lyft,Shared,South Station,West End,5.0,1.7
Uber,UberX,South Station,Financial District,6.0,0.39
Lyft,Lux Black,Haymarket Square,West End,16.5,0.87
Uber,UberX,South Station,Back Bay,10.5,3.45
Lyft,Lux Black XL,North Station,North End,26.0,1.12
Lyft,Lux Black XL,Boston University,North Station,34.0,3.18
Lyft,Lux Black XL,Boston University,North Station,45.5,3.07
Lyft,Lux,Northeastern University,Beacon Hill,19.5,2.46
Uber,Black,Boston University,Beacon Hill,20.5,2.27
Lyft,Lux Black XL,Beacon Hill,Haymarket Square,26.0,1.38
Lyft,Lux,West End,Haymarket Square,11.0,0.68
Lyft,Lux,Northeastern University,Financial District,22.5,3.45
Lyft,Lyft XL,Boston University,Financial District,22.5,5.26
Uber,WAV,Theatre District,Boston University,14.0,2.98
Lyft,Lyft,North Station,Haymarket Square,7.0,0.56
Lyft,Shared,Fenway,West End,7.0,2.96
Uber,Black,Haymarket Square,Back Bay,21.5,2.32
Uber,Black,South Station,West End,18.5,2.14
Uber,WAV,Haymarket Square,Beacon Hill,9.5,1.35
Uber,Black SUV,West End,Northeastern University,31.5,2.86
Lyft,Lux Black XL,North Station,Boston University,38.0,3.49
Lyft,Lyft,Back Bay,North End,10.5,3.5
Lyft,Shared,Haymarket Square,Back Bay,7.0,2.3
Lyft,Lux Black XL,Financial District,Fenway,42.5,4.34
Lyft,Lux Black XL,Financial District,North End,26.0,1.12
Uber,UberXL,West End,Northeastern University,16.0,2.86
Uber,UberX,Boston University,West End,9.5,2.8
Uber,Black SUV,Back Bay,Northeastern University,27.5,1.62
Lyft,Lyft XL,Fenway,Theatre District,16.5,3.12
Uber,Black SUV,Northeastern University,Financial District,36.5,4.73
Uber,UberX,Haymarket Square,West End,9.5,0.72
Lyft,Lyft XL,Back Bay,Boston University,10.5,1.53
Lyft,Lyft XL,Beacon Hill,North End,16.5,2.43
Lyft,Lyft,Boston University,West End,10.5,2.83
Lyft,Lyft XL,Theatre District,North End,13.5,1.54
Uber,WAV,Northeastern University,Back Bay,8.5,1.22
Lyft,Lux Black,Financial District,Fenway,42.5,3.45
Lyft,Lux,Fenway,Financial District,26.0,4.65
Lyft,Lux Black XL,Back Bay,Haymarket Square,30.0,2.44
Lyft,Shared,North End,North Station,5.0,1.68
Lyft,Lyft XL,West End,Northeastern University,16.5,2.8
Uber,WAV,Northeastern University,Theatre District,8.0,1.81
Lyft,Shared,Fenway,Back Bay,5.0,1.44
Uber,UberX,West End,Boston University,9.5,3.04
Lyft,Lux Black,North End,Financial District,16.5,1.26
Uber,UberX,Fenway,West End,10.5,2.84
Uber,UberX,Theatre District,Haymarket Square,7.5,1.16
Lyft,Lux Black,South Station,Theatre District,16.5,0.71
Lyft,Lux Black XL,Beacon Hill,Haymarket Square,26.0,0.95
Lyft,Lux Black,Boston University,Theatre District,34.0,4.73
Lyft,Lux Black,Theatre District,North End,19.5,1.52
Lyft,Lux Black,North End,Back Bay,45.5,2.99
Uber,UberPool,North End,Beacon Hill,8.0,2.2
Lyft,Lyft,Fenway,West End,11.0,2.91
Lyft,Lyft XL,Boston University,Theatre District,22.5,4.62
Uber,WAV,Haymarket Square,Financial District,8.0,1.25
Lyft,Lyft,North End,West End,9.0,1.03
Lyft,Lux,Fenway,Beacon Hill,16.5,2.38
Uber,Black,Beacon Hill,South Station,19.5,2.5
Lyft,Lyft,Beacon Hill,Fenway,11.0,2.46
Lyft,Shared,North Station,Boston University,9.0,3.5
Lyft,Lux,West End,South Station,16.5,1.76
Lyft,Lux Black,Northeastern University,Back Bay,16.5,1.12
Lyft,Lux,North End,North Station,13.5,1.18
Lyft,Lux Black XL,North End,Back Bay,32.5,2.63
Uber,WAV,Haymarket Square,Theatre District,12.5,1.61
Lyft,Lux Black XL,South Station,West End,30.0,1.7
Lyft,Lux Black XL,Haymarket Square,West End,26.0,0.76
Uber,UberX,Boston University,West End,17.5,2.8
Lyft,Shared,Boston University,North Station,9.0,3.15
Uber,Black SUV,South Station,Financial District,26.5,0.39
Uber,UberPool,Financial District,Fenway,9.0,4.42
Lyft,Lux,Financial District,North End,13.5,1.12
Lyft,Lyft,North End,Financial District,7.0,1.23
Uber,Black,Beacon Hill,Fenway,20.5,2.46
Lyft,Lux Black XL,Haymarket Square,West End,27.5,0.75
Uber,UberX,Beacon Hill,Haymarket Square,7.5,0.91
Uber,UberX,North Station,South Station,8.5,2.29
Uber,Black SUV,West End,South Station,27.5,1.71
Uber,Black SUV,Financial District,North End,27.5,1.04
Lyft,Lux,Haymarket Square,Beacon Hill,13.5,1.52
Lyft,Lux,South Station,North Station,13.5,1.78
Lyft,Shared,Boston University,West End,3.0,2.88
Lyft,Lux Black XL,West End,Northeastern University,32.5,2.84
Uber,UberX,Financial District,Haymarket Square,7.0,0.82
Uber,WAV,North Station,Fenway,13.5,3.08
Lyft,Lyft,Theatre District,Fenway,11.0,2.69
Uber,UberX,Haymarket Square,Beacon Hill,9.5,1.23
Lyft,Lux Black,Fenway,North Station,27.5,3.15
Uber,UberX,Boston University,West End,9.5,2.8
Uber,WAV,North End,North Station,8.5,1.08
Uber,WAV,Back Bay,Fenway,7.0,1.5
Lyft,Lyft,Boston University,Back Bay,7.0,1.44
Lyft,Shared,Theatre District,North End,5.0,1.54
Uber,WAV,Boston University,Theatre District,12.5,2.62
Uber,Black SUV,North End,Financial District,27.0,1.21
Lyft,Lux Black,North End,Theatre District,22.5,1.73
Lyft,Lux,Financial District,North End,13.5,1.08
Lyft,Lux Black XL,South Station,Beacon Hill,30.0,2.39
Lyft,Lux Black XL,Back Bay,Haymarket Square,30.0,2.3
Lyft,Lux,West End,South Station,16.5,2.03
Uber,UberPool,Fenway,West End,9.0,2.84
Uber,WAV,Fenway,West End,10.5,2.9
Lyft,Lyft XL,Financial District,Haymarket Square,10.5,1.0
Uber,UberPool,Financial District,Boston University,11.0,4.72
Lyft,Lux,Back Bay,Northeastern University,13.5,1.46
Uber,UberX,North Station,Fenway,11.5,3.07
Uber,Black SUV,North Station,Northeastern University,37.5,3.22
Lyft,Lyft,Financial District,Fenway,13.5,4.15
Uber,UberXL,North Station,North End,12.0,1.03
Lyft,Lyft,Back Bay,Haymarket Square,10.5,1.99
